Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Outlier
CCFX,0.613,0.751,4.0,-6.677,1.0,0.0333,0.0962,0.199,0.121,0.57,100.898,4.0,1
CEO,0.599,0.978,9.0,-6.538,1.0,0.12,0.0298,0.881,0.605,0.389,127.029,4.0,1
CINTHIE,0.859,0.508,6.0,-9.521,0.0,0.0506,0.000345,0.927,0.11,0.487,123.009,4.0,1
COMA,0.574,0.721,0.0,-7.873,1.0,0.1,0.65,0.0974,0.295,0.563,100.01,4.0,1
CRi,0.6987777777777777,0.7332222222222222,7.666666666666667,-8.129777777777779,0.7777777777777778,0.044033333333333334,0.04120777777777778,0.8347777777777777,0.1126,0.42288888888888887,123.34211111111111,4.0,1
CSS,0.618,0.811,5.0,-3.694,1.0,0.0284,0.0577,5.41e-05,0.327,0.53,119.981,4.0,1
Cage The Elephant,0.5122,0.7656000000000001,4.8,-4.2232,0.6,0.04284,0.10584600000000002,0.00038399999999999996,0.20867999999999998,0.358,112.66839999999999,4.0,1
Calle 13,0.803,0.86,8.0,-6.522,1.0,0.135,0.0782,4.45e-05,0.128,0.534,109.966,4.0,1
Calvin Harris,0.703,0.938,0.0,-2.762,1.0,0.0291,0.00116,0.0159,0.26,0.766,127.944,4.0,1
CamelPhat,0.706,0.7935,8.0,-6.1545000000000005,0.5,0.0517,0.06525,0.3004,0.136,0.518,123.4565,3.5,1
Camp Claude,0.589,0.661,0.0,-5.719,1.0,0.0261,0.0082,0.0,0.36,0.52,111.958,4.0,1
Canned Heat,0.5745,0.1975,7.0,-17.799500000000002,0.5,0.0436,0.7915000000000001,0.0073,0.182,0.485,104.958,4.0,1
Capital Cities,0.655,0.819,0.0,-4.852,1.0,0.0316,0.000176,0.00374,0.104,0.766,117.956,5.0,1
Car Seat Headrest,0.4030888888888889,0.6669311111111111,5.222222222222222,-5.950222222222222,0.9333333333333333,0.04622222222222223,0.21544606666666669,0.2582914168888889,0.18961555555555556,0.3669688888888889,127.64104444444443,3.933333333333333,1
Caribou,0.687,0.802,1.0,-7.6,1.0,0.0367,0.0361,0.749,0.204,0.439,127.991,4.0,1
Carla Morrison,0.528,0.303,3.0,-7.302,1.0,0.0292,0.903,4.1e-05,0.111,0.36,166.032,4.0,1
Carlos Vives,0.746,0.961,0.0,-2.243,1.0,0.13,0.206,1.84e-06,0.329,0.951,179.984,4.0,1
Carnage,0.484,0.756,6.0,-4.379,0.0,0.0579,0.00209,0.314,0.3,0.239,139.9,4.0,1
Cass McCombs,0.4916666666666667,0.6235,6.166666666666667,-9.605833333333333,0.5,0.04751666666666667,0.23185783333333335,0.008435833333333333,0.17600000000000002,0.5670499999999999,129.02333333333334,4.0,1
Cat Power,0.539,0.761,0.0,-8.415,1.0,0.0363,0.885,0.493,0.0862,0.689,170.163,4.0,1
Catching Flies,0.679,0.5375,4.5,-9.5715,0.0,0.052250000000000005,0.1435,0.6215,0.135,0.2715,121.003,4.0,1
Cayucas,0.642,0.792,9.0,-3.502,1.0,0.0303,0.561,0.264,0.177,0.685,117.974,4.0,1
Ceremony,0.256,0.959,1.0,-1.693,1.0,0.198,0.14,1.86e-06,0.347,0.0637,158.669,4.0,1
Chad VanGaalen,0.59775,0.538,4.25,-10.67725,0.75,0.068125,0.60505,0.190845,0.29905000000000004,0.306,118.08975,4.0,1
Channel Tres,0.827,0.54,1.0,-8.543,1.0,0.0925,0.0254,0.164,0.145,0.49,120.055,4.0,1
Chaos Chaos,0.6563333333333333,0.655,3.0,-6.68,1.0,0.04223333333333334,0.20766666666666667,0.08709856666666667,0.25366666666666665,0.46033333333333326,128.012,4.0,1
Charlene Soraia,0.48375,0.5994999999999999,8.0,-7.89725,0.5,0.051699999999999996,0.235575,0.012042032499999999,0.11445,0.22825,125.97925000000001,4.25,1
Charlotte Gainsbourg,0.461,0.545,11.0,-8.166,1.0,0.046,0.0297,0.0471,0.0928,0.408,104.97,4.0,1
Charly García,0.521,0.631,9.0,-12.721,1.0,0.0301,0.00145,0.00454,0.0405,0.934,140.916,4.0,1
Cheat Codes,0.567,0.644,0.0,-5.699,1.0,0.0278,0.0404,5.03e-06,0.0632,0.212,140.038,4.0,1
Chemical Surf,0.819,0.802,5.0,-7.214,0.0,0.121,0.00414,0.897,0.125,0.131,124.028,4.0,1
